C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C22:1
C23:1
C3:1
C7:1
C8:1
C9:1
J1:1
R11:1
R12:1
R13:1
R19:1
R9:1
SW1:1
U1:1
U2:1
U6:1
U7:1
Y1:1
